CASEID,SEX,RACE,SCHLCOLL,ACTIVITY,DURATION
20160112152201,2,110,5,10101,85
20160112152201,2,110,5,120303,120
20160112152201,2,110,5,110101,30
20160112152201,2,110,5,120303,180
20160112152201,2,110,5,10201,60
20160112152201,2,110,5,181204,35
20160112152201,2,110,5,120403,120
20160112152201,2,110,5,181201,10
20160112152201,2,110,5,120101,85
20160112152201,2,110,5,181201,35
20160112152201,2,110,5,10101,45
20160112152295,2,100,5,10101,240
20160112152295,2,100,5,10201,30
20160112152295,2,100,5,20201,10
20160112152295,2,100,5,110101,25
20160112152295,2,100,5,20203,10
20160112152295,2,100,5,20902,7
20160112152295,2,100,5,20201,3
20160112152295,2,100,5,180501,10
20160112152295,2,100,5,180501,15
20160112152295,2,100,5,50101,130
20160112152295,2,100,5,110101,15
20160112152295,2,100,5,50101,105
20160112152295,2,100,5,60101,60
20160112152295,2,100,5,60301,90
20160112152295,2,100,5,181101,10
20160112152295,2,100,5,110101,20
20160112152295,2,100,5,60301,60
20160112152295,2,100,5,180603,10
20160112152295,2,100,5,160101,20
20160112152295,2,100,5,20101,30
20160112152295,2,100,5,60301,90
20160112152295,2,100,5,120303,40
20160112152295,2,100,5,10201,30
20160112152295,2,100,5,120306,50
20160112152295,2,100,5,160102,90
20160112152295,2,100,5,10101,240
20160201160512,2,100,5,10101,120
20160201160512,2,100,5,10201,20
20160201160512,2,100,5,180601,60
20160201160512,2,100,5,60101,385
20160201160512,2,100,5,180601,30
20160201160512,2,100,5,50101,240
20160201160512,2,100,5,181301,1
20160201160512,2,100,5,130128,40
20160201160512,2,100,5,181301,1
20160201160512,2,100,5,20201,15
20160201160512,2,100,5,50101,120
20160201160512,2,100,5,120303,48
20160201160512,2,100,5,10101,360
20160201160518,2,100,5,10101,300
20160201160518,2,100,5,20201,20
20160201160518,2,100,5,110101,100
20160201160518,2,100,5,20101,180
20160201160518,2,100,5,20102,60
20160201160518,2,100,5,10201,60
20160201160518,2,100,5,181101,9
20160201160518,2,100,5,110101,81
20160201160518,2,100,5,181101,9
20160201160518,2,100,5,30109,81
20160201160518,2,100,5,120303,180
20160201160518,2,100,5,10101,360
20160201160544,2,100,5,10101,330
20160201160544,2,100,5,10201,90
20160201160544,2,100,5,110101,30
20160201160544,2,100,5,180601,20
20160201160544,2,100,5,60101,280
20160201160544,2,100,5,180601,20
20160201160544,2,100,5,20201,15
20160201160544,2,100,5,20201,10
20160201160544,2,100,5,20202,5
20160201160544,2,100,5,110101,40
20160201160544,2,100,5,60301,120
20160201160544,2,100,5,181201,5
20160201160544,2,100,5,120101,90
20160201160544,2,100,5,181201,5
20160201160544,2,100,5,120312,90
20160201160544,2,100,5,10201,10
20160201160544,2,100,5,10101,280
20160201160584,2,100,5,10201,30
20160201160584,2,100,5,181101,90
20160201160584,2,100,5,110101,20
20160201160584,2,100,5,120307,130
20160201160584,2,100,5,180504,15
20160201160584,2,100,5,50403,150
20160201160584,2,100,5,180504,240
20160201160584,2,100,5,20603,30
20160201160584,2,100,5,10201,30
20160201160584,2,100,5,180603,30
20160201160584,2,100,5,60301,45
20160201160584,2,100,5,60301,150
20160201160584,2,100,5,180603,15
20160201160584,2,100,5,60301,135
20160201160584,2,100,5,10201,5
20160201160584,2,100,5,10101,325
20160201160617,2,100,5,10101,120
20160201160617,2,100,5,20201,30
20160201160617,2,100,5,500105,150
20160201160617,2,100,5,20401,120
20160201160617,2,100,5,20201,30
20160201160617,2,100,5,500101,30
20160201160617,2,100,5,60301,300
20160201160617,2,100,5,20201,60
20160201160617,2,100,5,30101,60
20160201160617,2,100,5,120303,60
20160201160617,2,100,5,30101,30
20160201160617,2,100,5,60301,30
20160201160617,2,100,5,10101,420
20160201161143,2,100,5,10101,150
20160201161143,2,100,5,10201,50
20160201161143,2,100,5,180601,15
20160201161143,2,100,5,60101,265
20160201161143,2,100,5,180601,15
20160201161143,2,100,5,110101,30
20160201161143,2,100,5,60301,95
20160201161143,2,100,5,180601,15
20160201161143,2,100,5,60101,145
20160201161143,2,100,5,180601,15
20160201161143,2,100,5,60301,180
20160201161143,2,100,5,120303,120
20160201161143,2,100,5,10201,10
20160201161143,2,100,5,10101,335
20160201161173,2,100,5,10101,210
20160201161173,2,100,5,30101,15
20160201161173,2,100,5,30101,10
20160201161173,2,100,5,30101,20
20160201161173,2,100,5,20201,20
20160201161173,2,100,5,30101,30
20160201161173,2,100,5,120303,60
20160201161173,2,100,5,30101,5
20160201161173,2,100,5,30103,60
20160201161173,2,100,5,30101,5
20160201161173,2,100,5,10201,45
20160201161173,2,100,5,20201,30
20160201161173,2,100,5,30101,5
20160201161173,2,100,5,30101,5
20160201161173,2,100,5,30101,5
20160201161173,2,100,5,30101,30
20160201161173,2,100,5,30103,120
20160201161173,2,100,5,30101,30
20160201161173,2,100,5,180704,30
20160201161173,2,100,5,70104,30
20160201161173,2,100,5,180406,15
20160201161173,2,100,5,40507,3
20160201161173,2,100,5,180406,15
20160201161173,2,100,5,40507,3
20160201161173,2,100,5,181202,15
20160201161173,2,100,5,120201,180
20160201161173,2,100,5,180704,10
20160201161173,2,100,5,70104,15
20160201161173,2,100,5,180704,30
20160201161173,2,100,5,30101,20
20160201161173,2,100,5,120101,5
20160201161173,2,100,5,120307,120
20160201161173,2,100,5,120303,30
20160201161173,2,100,5,120101,30
20160201161173,2,100,5,10101,184
20160201161199,2,100,5,10101,120
20160201161199,2,100,5,10201,90
20160201161199,2,100,5,10301,30
20160201161199,2,100,5,120303,15
20160201161199,2,100,5,20101,120
20160201161199,2,100,5,180701,10
20160201161199,2,100,5,70101,120
20160201161199,2,100,5,180701,10
20160201161199,2,100,5,500101,15
